"Location","Sample","AG0377","AG0393","AG0396","AG0416","AG0515","AG0581","AG0608","AG0620","AG0638","AG0651","AG0686","AG0703","AG0732","AG0777","AG0815","AG0863","AG0865","AG0895","AG0912","AG0930","AG0931","AG0974","AG1034","AG1046","AG1061","AG1099","AG1152","AG1225","AG1226","AG1661","AG1687","AG1698","IG0005","IG0011","IG0012","HYC01","IG0020","IG0023","IG0028","IG0044","IG0053","IG0058","IG0060","IG0063","IG0079","IG0081","IG0133","IG0197","IG0314","UNI05","Total Events"
"44(1,D6)","S36","275","1976","4954","248","198.5","899.5","3214","302","1237","10271","4173","526","2617","180","3023","8371.5","7536","187","535","12058","13029","125","15683","403","258","2113","1159","217.5","285","568","307","365","295","205","6719","23686.5","1655","15753","9934","11788","1080","10036","24726.5","1533","745.5","1495","618","858","545.5","21025","7572"
"45(1,E6)","S37","333","1742","6790","240","475","710","840","668.5","1393","11598","6844","1041","750","181","195","8319","786","175.5","472.5","6981","7556","137","19215","284","251","3928","1816.5","227","290","625.5","365","603","351","250","2981","24035","622","11910","1351","10969.5","541.5","9071","25143.5","5758","423","3624","2719","581.5","592","22350.5","7211"
"46(1,F6)","S38","271","518","2775","1446","191","2100","223","219","1324.5","3507","7904","7139","562","161.5","5689","1856","250.5","160","178","322","287.5","154.5","18987","233","242","15730","222","995.5","737.5","551","9862.5","1107","347.5","195","1857","23976","380.5","10434.5","242","11277","492.5","13137.5","24134","2165","272.5","364.5","3181","400","500.5","22007","8190"
"47(1,G6)","S39","232","7840","3871","195","822","640","2493","222","3015","10021.5","216.5","486","372","158","176","621","224.5","154","403.5","423","222.5","137.5","22133","488","213.5","672","950","222.5","4831","566.5","3693","3349","255","182","6423","24214","338","14009","228","10770","3392","14091","18686.5","1228.5","200","1559.5","489.5","507","773","21774","7663"
"48(1,H6)","S40","322","565","2821.5","218","189","4030","854.5","202","1212","3357.5","215.5","20203","524","179","170.5","747","261","178","339.5","285","263","191","22689","240.5","245.5","238.5","216.5","187.5","288","539.5","7066.5","281","271","208","5321.5","24399","476","8588.5","253","12967","410.5","20326","17500","2163","227.5","557","1877","391.5","355.5","20116.5","7029"
"49(1,A7)","S41","357","671.5","4112","251","193","2530.5","297.5","214.5","1379","3292.5","257","16161","1143","172","183","1626","813","183","296","317","259","168","21266","252","240.5","256","251","206","321.5","559","9882.5","286","315.5","207","5217","23143.5","935","10523.5","1601","10926","448.5","17482","21528","3934","263.5","593","1679","395","410","20168.5","7337"
"50(1,B7)","S42","251","802.5","426","233","7843","2201.5","2153","313","1787","7693","427.5","266","911","183","212.5","722","10942","6839.5","394","385","304.5","8844","15598","316","3358","563.5","226","232","4590","575","318","1808","316","205","9687.5","24178","448","10332","14084","7418","19020.5","11418","13469","3167","621","1985","1326","623.5","343","21040","7329"
"51(1,C7)","S43","650","836","629","246","210.5","484.5","741","486","1677","8946","2740","268","3565","189","188","5944","4483.5","190","283","350","262","140","14828","383","279","6662","264","374","4047","6047","310.5","254","2405","214","6177.5","24171","2683","7517","6136.5","5572","835","4600.5","22163","6253","297","3501","23723","542","642","20732.5","8116"
"52(1,D7)","S44","307","768","1486","4525.5","215","358","1315.5","426","1431","13233","1813","382","666.5","174","181.5","932.5","15727","191","990","4165","6115.5","136","18669","533","275","4761","1151","1958.5","3330","582.5","2346","3551.5","317","209","2460.5","24257","492","10104.5","19247","8354","672.5","9581","24032.5","3267.5","370.5","1481","593","487","501","21083","6790"
"53(1,E7)","S45","588","564.5","2245","733","200","1524","2381.5","1644","1391","3331","402","860","582","196","215","555.5","1927","211","176","10404.5","11331","162","23740.5","275","251","801","225","216","2331.5","568.5","472","285","296","224","2913","23559","425.5","8286.5","3469.5","14408","770","11823","13404.5","16346.5","572.5","10658","1016","646.5","343","20033","7221"
"54(1,F7)","S46","240.5","972.5","1015","216.5","186.5","664","2647.5","201","1442","18836.5","3611","4369","1008","159.5","9114","1533","16185.5","178.5","518","3433","4804","116","12584.5","400","227","7457","2910","1215.5","3120.5","617","290","348","283","205","1159","24195.5","402.5","5081","19107","11656.5","390","8445","13980","538","265.5","452","654","418.5","306","20169","7890"
"55(1,G7)","S47","10220","617","1988.5","5278.5","202","1294","2372","375","1581","4188.5","238","10644","881","186","175","8712","3726","191","683","5683","7635","141","22072","308","255","257","229","246","283.5","605.5","444","798","335","205","6738","24588","415","8808.5","5262","15712","658","13388","25074","4412","263.5","1813","3045","433","438","20822","7483"
"56(1,H7)","S48","641.5","759","2357.5","4838","204","1334","2271.5","753","1422.5","12084","218","342","949","202","173","1052","5867.5","194","1109","17785","16662.5","136","17021","301","266","476","2827.5","1320","5737","610","850","265","1522","215.5","2924","24207","421.5","13452","8024","14279","485","9201","24447.5","7734.5","618.5","6160.5","19426","737","353","20571","7305"
"57(1,A8)","S49","290","1013.5","2173","633","212","599","2087","252","1496.5","17094","1874.5","529","8318","215.5","203","1162.5","11461.5","11106","208.5","6336","6474","147","17663","293","293","4762.5","266","218","273","636","390","272","333","233","15689.5","23929","813","5236","15290","10998","1975.5","8479","16265","1351.5","5968","3357","621.5","4368.5","358","19143.5","7398"
"58(1,B8)","S50","310","857","6080.5","255","227","875","1517","396.5","7719","10101","356","514.5","1329.5","194","197","1488.5","8254","195.5","1460","331","280","142","12317","804","326","1836","258","3057","6789","624.5","8749","308.5","293","238.5","4287.5","24524","685","12816.5","11172","3775","852.5","7088","22081.5","2679","244.5","1447","954","438","342","19355","7859"
"59(1,C8)","S51","1343.5","900","1229","278","2268.5","2357","6952","755","2964","9201","270","3680","1650","207","402","280","432.5","205.5","1060","345","283.5","159.5","19870","413","282","3327","287.5","13563","8944.5","626","5612","1417.5","334","213","4756.5","24166","1326","9276","511","7047","494","10794","16140","8494","314.5","4440","1251","456","529","19963","7364"
